,bench_name,digitizer_id,files_ids,hole_id,hole_name,pattern_name,rig_id,sensor_id,start_time_max,start_time_min
0,885,S1027,"1,3,22",9314,9314,NS92_82,33,DIFF017,1554232000,1554230678
1,885,S1027,12,9413,9413,NS92_82,33,DIFF017,1554287995,1554286675
2,885,6172,50,9614,9614,NS92_82,33,6172,1554711010,1554324514
3,886,S1027,147,9717,9717,NN93_12,33,PR005,1554568198,1554566481
4,886,S1027,"149,166",10614,10614,NN93_12,33,PR005,1554484812,1554482976
5,886,S1027,116,10808,10808,NN93_12,33,PR005,1554688181,1554685743
6,886,S1027,106,10016,10016,NN93_12,33,PR005,1554525444,1554525177
7,885,6172,408,9411,9411,NS92_82,33,6172,1554284880,1554283532
8,886,S1027,136,9418,9418,NN93_12,33,PR005,1554587026,1554585741
9,886,S1027,170,10311,10311,NN93_12,33,PR005,1554701926,1554701269
10,885,S1027,"2,40",9614,9614,NS92_82,33,DIFF017,1554711010,1554324514
11,885,S1027,24,9514,9514,NS92_82,33,DIFF017,1554305182,1554304272
12,885,6172,"45,365",9314,9314,NS92_82,33,6172,1554232000,1554230678
13,886,S1027,151,9122,9122,NN93_12,33,PR005,1554583639,1554582220
14,885,S1027,38,9210,9210,NS92_82,33,DIFF017,1554259082,1554257779
15,886,S1027,"118,139",10909,10909,NN93_12,33,PR005,1554541874,1554540048
16,885,S1027,19,9207,9207,NS92_82,33,DIFF017,1554252581,1554251549
17,885,S1027,16,9416,9416,NS92_82,33,DIFF017,1554239697,1554238868
18,885,S1027,"26,38",9211,9211,NS92_82,33,DIFF017,1554260622,1554259291
19,885,6172,433,9415,9415,NS92_82,33,6172,1554716196,1554239908
20,885,S1027,"12,18",9506,9506,NS92_82,33,DIFF017,1554289267,1554288389
21,885,6172,448,9212,9212,NS92_82,33,6172,1554262199,1554260839
22,885,S1027,158,8909,8909,NS92_82,33,PR005,1554558129,1554557004
23,885,6172,"385,423",9310,9310,NS92_82,33,6172,1554268305,1554267378
24,886,6673,302,10315,10315,NN93_12,33,6673,1554522816,1554520893
25,886,S1027,"131,161",9813,9813,NN93_12,33,PR005,1554707510,1554705899
26,886,S1027,"106,154",10215,10215,NN93_12,33,PR005,1554524366,1554523116
27,886,6172,43,3200C,3200C,NN93_12,33,6172,1554447145,1554446222
28,885,6172,"320,377",9507,9507,NS92_82,33,6172,1554290586,1554289489
29,885,6172,"433,437",9416,9416,NS92_82,33,6172,1554239697,1554238868
30,885,6172,432,9515,9515,NS92_82,33,6172,1554714518,1554245292
31,886,6673,"298,302",10514,10514,NN93_12,33,6673,1554519857,1554518924
32,885,6172,365,9316,9316,NS92_82,33,6172,1554234220,1554233520
33,885,S1027,33,9610,9610,NS92_82,33,DIFF017,1554316762,1554315484
34,886,S1027,131,9913,9913,NN93_12,33,PR005,1554705677,1554705029
35,885,S1027,167,9013,9013,NS92_82,33,PR005,1554576050,1554574864
36,885,6172,316,9605,9605,NS92_82,33,6172,1554306627,1554305594
37,885,S1027,8,9411,9411,NS92_82,33,DIFF017,1554284880,1554283532
38,885,6172,41,9313,9313,NS92_82,33,6172,1554272585,1554271538
39,886,S1027,118,10809,10809,NN93_12,33,PR005,1554544307,1554542208
40,885,6172,326,9617,9617,NS92_82,33,6172,1554571557,1554246338
41,885,S1027,124,8813,8813,NS92_82,33,PR005,1554551410,1554550257
42,885,S1027,20,9308,9308,NS92_82,33,DIFF017,1554266070,1554265084
43,885,6172,385,9312,9312,NS92_82,33,6172,1554271301,1554270139
44,886,S1027,"104,124",10712,10712,NN93_12,33,PR005,1554549373,1554548051
45,886,S1027,"146,161",9614,9614,NN93_12,33,PR005,1554711010,1554324514
46,885,S1027,158,8910,8910,NS92_82,33,PR005,1554558602,1554558371
47,886,S1027,108,10512,10512,NN93_12,33,PR005,1554601467,1554600428
48,885,6172,41,9406,9406,NS92_82,33,6172,1554273935,1554272975
49,885,S1027,5,9616,9616,NS92_82,33,DIFF017,1554249419,1554248151
50,885,S1027,"4,9",9607T,9607T,NS92_82,33,DIFF017,1554311664,1554308447
51,886,6172,317,10713,10713,NN93_12,33,6172,1554475915,1554473780
52,886,S1027,"145,154",10514,10514,NN93_12,33,PR005,1554519857,1554518924
53,885,S1027,16,9414,9414,NS92_82,33,DIFF017,1554241767,1554240856
54,885,6172,42,9512,9512,NS92_82,33,6172,1554302481,1554301264
55,885,6172,310,9518B,9518B,NS92_82,33,6172,1554280328,1554279302
56,885,6172,"47,48",9609,9609,NS92_82,33,6172,1554315275,1554314005
57,886,S1027,"155,168",9519,9519,NN93_12,33,PR005,1554532012,1554530217
58,886,S1027,"101,121",9217,9217,NN93_12,33,PR005,1554732440,1554730662
59,886,S1027,"107,147",9617,9617,NN93_12,33,PR005,1554571557,1554246338
60,885,6172,326,9616,9616,NS92_82,33,6172,1554249419,1554248151
61,885,S1027,2,9613T,9613T,NS92_82,33,DIFF017,1554324010,1554321855
62,885,6172,"46,47",9607T,9607T,NS92_82,33,6172,1554311664,1554308447
63,886,S1027,"122,135",9615,9615,NN93_12,33,PR005,1554650301,1554249840
64,886,S1027,"131,170",10112,10112,NN93_12,33,PR005,1554703805,1554702915
65,886,S1027,110,10412,10412,NN93_12,33,PR005,1554605425,1554603074
66,886,S1027,167,9320,9320,NN93_12,33,PR005,1554575971,1554574649
67,885,S1027,1,9216,9216,NS92_82,33,DIFF017,1554738549,1554229423
68,885,S1027,5,9617,9617,NS92_82,33,DIFF017,1554571557,1554246338
69,885,S1027,37,9518B,9518B,NS92_82,33,DIFF017,1554280328,1554279302
70,885,S1027,18,9507,9507,NS92_82,33,DIFF017,1554290586,1554289489
71,885,6172,49,9612T,9612T,NS92_82,33,6172,1554320914,1554318364
72,885,S1027,35,9417,9417,NS92_82,33,DIFF017,1554651812,1554236889
73,885,6172,42,9513,9513,NS92_82,33,6172,1554303938,1554302744
74,885,S1027,23,9515,9515,NS92_82,33,DIFF017,1554714518,1554245292
75,885,6172,377,9508,9508,NS92_82,33,6172,1554291657,1554290810
76,886,S1027,113,9415,9415,NN93_12,33,PR005,1554716196,1554239908
77,885,S1027,"107,167",9012,9012,NS92_82,33,PR005,1554574442,1554573158
78,886,6172,336,3197C,3197C,NN93_12,33,6172,1554438510,1554437665
79,885,6172,320,9413,9413,NS92_82,33,6172,1554287995,1554286675
80,885,S1027,"16,23",9517,9517,NS92_82,33,DIFF017,1554243573,1554242166
81,885,6172,365,9315,9315,NS92_82,33,6172,1554235169,1554234446
82,885,6172,"326,335",9615,9615,NS92_82,33,6172,1554650301,1554249840
83,886,S1027,122,9417,9417,NN93_12,33,PR005,1554651812,1554236889
84,886,S1027,173,9216,9216,NN93_12,33,PR005,1554738549,1554229423
85,885,S1027,3,9316,9316,NS92_82,33,DIFF017,1554234220,1554233520
86,885,S1027,"124,144",9010T,9010T,NS92_82,33,PR005,1554554493,1554551781
87,885,S1027,39,9612T,9612T,NS92_82,33,DIFF017,1554320914,1554318364
88,886,6172,369,3202C,3202C,NN93_12,33,6172,1554450476,1554449506
89,885,6172,45,9216,9216,NS92_82,33,6172,1554738549,1554229423
90,885,S1027,11,9313,9313,NS92_82,33,DIFF017,1554272585,1554271538
91,886,S1027,168,9618,9618,NN93_12,33,PR005,1554529980,1554528686
92,885,6172,316,9514,9514,NS92_82,33,6172,1554305182,1554304272
93,885,6172,334,9209,9209,NS92_82,33,6172,1554255190,1554254218
94,885,S1027,147,8913R,8913R,NS92_82,33,PR005,1554568809,1554567360
95,886,6172,"43,369",3201C,3201C,NN93_12,33,6172,1554449121,1554447580
96,885,S1027,3,9315,9315,NS92_82,33,DIFF017,1554235169,1554234446
97,886,S1027,53,9916,9916,NN93_12,33,PR005,1554564572,1554563697
98,885,S1027,"4,33",9609,9609,NS92_82,33,DIFF017,1554315275,1554314005
99,885,S1027,"8,12",9412,9412,NS92_82,33,DIFF017,1554286444,1554285082
100,886,S1027,106,9917,9917,NN93_12,33,PR005,1554525991,1554525664
101,885,S1027,19,9615,9615,NS92_82,33,DIFF017,1554650301,1554249840
102,886,S1027,121,9118,9118,NN93_12,33,PR005,1554734483,1554732950
103,885,S1027,"8,37",9410,9410,NS92_82,33,DIFF017,1554283330,1554281842
104,886,S1027,"126,169",10510,10510,NN93_12,33,PR005,1554697903,1554694896
105,886,6172,43,3199C,3199C,NN93_12,33,6172,1554445931,1554444867
106,885,6172,"423,448",9307,9307,NS92_82,33,6172,1554264766,1554263860
107,885,S1027,35,9318,9318,NS92_82,33,DIFF017,1554236600,1554235544
108,886,S1027,"144,158",10314,10314,NN93_12,33,PR005,1554557281,1554555106
109,886,S1027,"101,114,141",9317T,9317T,NN93_12,33,PR005,1554728953,1554724216
110,885,6172,"310,447",9408,9408,NS92_82,33,6172,1554278936,1554277859
111,886,S1027,"169,170",10410,10410,NN93_12,33,PR005,1554701034,1554698267
112,886,6673,304,10714,10714,NN93_12,33,6673,1554482579,1554480800
113,885,6172,310,9409,9409,NS92_82,33,6172,1554281614,1554280579
114,886,S1027,53,9816,9816,NN93_12,33,PR005,1554566232,1554564807
115,886,S1027,142,10213,10213,NN93_12,33,PR005,1554608484,1554607719
